Item,Sentence,all,a lot (of),,,,
146710:44,"and i think it is going  to come to that because [SOME] people will just not go to the,",Yes,Yes,,,,
88706:22,"and also, um, i do [SOME] work at u t d",Yes,Yes,,,,
134426:48,"and, uh, we've got [SOME] plum trees and [SOME] apple trees and [SOME] tomato and [SOME] blackberries and strawberries.",No (4),Yes (4),,,,
65927:55,"but i'm just saying that even the differences, uh, is that, you know, [SOME] countries pay for students to go to, through college and etcetera.",Yes,Yes,,,,
11353:13,you saved me [SOME] money.,No,Yes,,,,
115525:57,"and i like  to read, uh, i like  to read [SOME] self help books like, uh,",Yes,Yes,,,,
35085:21,"you know, you watch [SOME] of the cartoons,",Yes,Yes,,,,
15755:34,"i think they may be playing up um, [SOME] aspects of the movie that  aren't the main aspects.",Yes,Yes,,,,
66757:23,"there are some, [SOME] other crimes that i think, uh, you know, uh,",Yes,Yes,,,,
29326:35,so here lately with all the middle eastern news we've had [SOME] very interesting conversations over lunch.,No,Yes,,,,
158215:60,"but i, i rather imagine there's, there's [SOME] snickering about it. and a lot of the usually fatalistic, uh, here we go again folks, kind of stuff.",No,Yes,,,,
138929:40,"so here, i know that, uh, last year there was [SOME] ice storms while i was out of the state",No,Yes,,,,
88772:47,"so, um, if you, um, unless you have [SOME] other things you want  to talk about  as having  to do with p c",No,Yes,,,,
145945:125,"i guess what, the other benefits that, uh, that i, uh, that i miss , i guess is, uh, you know, [SOME] of the bonuses and stuff that that  goes on with just being involved  with a big company, you know",Yes,Yes,,,,
56003:40,"and i can see, you know, some, [SOME] really significant things coming out of it.",No,Yes,,,,
2722:07:00,and [SOME] of the patent attorneys have been real casual in their clothes,Yes,Yes,,,,
83552:52,"takes a heck of a long time, i guess, to get there in [SOME] states.",Yes,Yes,,,,
93005:47,"maybe you saw in the paper this morning that, um, they've had [SOME] problems with, the recycling on plastic,",No,Yes,,,,
155471:9,"unfortunately, [SOME] elderly have to go to or have, i guess it's  alzheimer's or where they wonder or, or, uh, confused or have [SOME] mental problem .",Yes; No,Yes; No,,,,
27147:10,"and consequently [SOME] of the very best students were, had excellent memories",Yes,Yes,,,,
85724:16,"um, there are [SOME] areas  though where, where they have a problem with, uh, the houses kind of sinking a little bit into the, to the, uh ,",No,Yes,,,,
56656:83,"um, you don't even have  to go all the way to new orleans, you know, if you want  to really get [SOME] good food.",No,Yes,,,,
94976:130,"and, um, about, i guess about when the first, when the youngest one was in kindergarten  i started  working at a preschool and, uh, you know, doing [SOME] work,",No,Yes,,,,
40694:58,"and he just really missed  being able  to be by himself, and having [SOME] peace and quiet",No,Yes,,,,
62767:31,"but to keep her entertained, music and [SOME] of these things do help.",Yes,Yes,,,,
96775:40,"so, she is pretty much, although there were [SOME] other women in her class, she was, you know, uh, one of the minorities,",Yes,Yes,,,,
9106:85,"do you, uh, do you think that those are bigger contributors than things like ai-, acid rain and [SOME] of the pollutants that  come from, uh, industrial areas, factories and so on.",Yes,Yes,,,,
63816:17,"and they've got [SOME] great big bins there for newspaper, um, plastic, um, i think three bins for glass, white, green, and whatev-, whatever other combination there is .",No,Yes,,,,
56198:25,"and you put a bay leaf and put some, uh, red pepper over it.",No,Yes,,,,
149162:20,"well, i was doing [SOME] of the same stuff, but doing it more slowly, and with smaller files.",Yes,Yes,,,,
101243:85,"and let everyone have an opportunity to reach higher education if they're willing, you know,  to work and have, uh, [SOME] ability.",No,Yes,,,,
77906:47,"but, uh, i-, it seems that there should be [SOME] continuity,",No,Yes,,,,
74032:16,"well, i got [SOME] friends that, uh,",No,Yes,,,,
16415:5,"some of them, they used  to be a hundred dollars,",Yes,Yes,,,,
100975:27,"i'm glad that there are still [SOME] areas that, that  get the youth involved  in that sort of thing.",No,Yes,,,,
136126:11,"there's [SOME] real weird people that, he seems  to come up with .",No,Yes,,,,
36918:34,"i mean some, i think [SOME] people that  had fairly sturdy, um, vehicles or whatever if they had like a winnebago or something and they were farther in away from the water, i think they stayed.",Yes,Yes,,,,
19697:27,"it was made  to placate [SOME] of the northern support but not completely alienate all the southern support because, you know, it was, uh, if you read it, it only emancipated those who  were in areas, uh, in rebellion against the united states.",Yes,Yes,,,,
114588:104,"uh, because i, i need  to have it tuned, you know, tuned  up and i don't know, replace [SOME] of the belts.",Yes,Yes,,,,
42645:119,"i mean, there are a lot of kids who when they're ten   look like they're twelve, or fourteen or, and, and, especially [SOME] of the minority children. whether, you know a racist or not,",Yes,Yes,,,,
108744:71,"uh, well, it, it's, it's, it really expresses [SOME] of the opinions of, of the people who  enjoy the music",Yes,Yes,,,,
29611:17,and the other one has [SOME] weird ones that i've never heard of .,No,Yes,,,,
9573:19:00,and then i've seen [SOME] of the star trek movies.,Yes,Yes,,,,
456:25:00,"um, but still, it gives it [SOME] variety.",No,Yes,,,,
56809:31,and no one could make heads or tails out of [SOME] of them,Yes,Yes,,,,
116582:15,but we've had [SOME] pretty nice weather.,No,Yes,,,,
32809:15,"and i've got [SOME] radishes up,",No,Yes,,,,
69408:35,"oh, there's, there's [SOME] nice things in baltimore, you know,",No,Yes,,,,
81885:137,"ninety, i would say about, oh, about ninety-five percent, no i guess may-, probably a hundred percent of them all are mostly brick, uh, with [SOME] wood.",Yes,Yes,,,,
15843:18,"now we've let [SOME] people  go, uh, that wa-, we, was found that drugs were used  in  their system.",Yes,Yes,,,,
1988:12:00,"there are some, you know, types of heavy metal that i really like ,",Yes,Yes,,,,
47420:60,"and i never had  to watch the news not, you know, not like [SOME] people hour and a half a day or anything.",No,Yes,,,,
14969:33,i guess i've had [SOME] good experience and [SOME] bad experience with them.,No; No,Yes; Yes,,,,
9501:60,"i, i think, in, in some, in [SOME] respects it probably mumblex more tolerable.",Yes,Yes,,,,
88719:5,"some of the commands just had nothing to do  with, you know, what you were supposed  to be doing  what they, what they did  on the com-, computer",Yes,Yes,,,,
36737:8,just [SOME] of them are known,Yes,Yes,,,,
67111:45,"and some, [SOME] of the people, uh, [SOME] of the higher dollars lawyers and stuff downtown too, are picking up [SOME] of those great big houses,",Yes (3),Yes (3),,,,
55159:38,"uh, marino makes me just crazy mad sometimes, because of [SOME] of the stupid stuff he does ,",Yes,Yes,,,,
100820:27,"um, but i do know through [SOME] organized groups like scouts and church um, they, do still have opportunities.",No,Yes,,,,
11992:7,and [SOME] of the fish were supposedly making a comeback.,Yes,Yes,,,,
147083:36,"um, oh, it, there's [SOME] good things about it",No,Yes,,,,
24846:25,"and, you know, there's [SOME] kids that, you know,  want  to go  learn,",No,Yes,,,,
126610:15,and they just see [SOME] really tiny modest wood frame homes,No,Yes,,,,
62502:62,"so, we're a little fa-, you know, farther removed from like dallas and [SOME] of the areas where they probably have more of the homeless and that type of thing .",Yes,Yes,,,,
163528:86,"so, it sounds like you, uh, you think that, that we'd be able  to save [SOME] money by, uh  passing the line item veto.",No,Yes,,,,
65668:54,"it's, uh, something we're really irritated about  around here. or [SOME] people are really irritated about .",Yes,Yes,,,,
173813:37,"well, when mine were growing up , i did [SOME] traveling and but not that extensively",No,Yes,,,,
62707:16,"so, well, actually [SOME] things are pretty good with that because i put it on a gold credit card",Yes,Yes,,,,
90033:32,and i also feel that that's where [SOME] of the bad images of nursing homes come from . is when people have  to put people in a nursing homes,Yes,Yes,,,,
27864:37,i usually get to the point where i can play [SOME] of my favorite themes,Yes,Yes,,,,
50720:6,"and [SOME] people would get civilian, uh, service, like working in hospitals.",Yes,Yes,,,,
139654:36,"my folks and i always had a dog and a cat, some, birds,",No,Yes,,,,
86489:22,what we did  in [SOME] of the other cities and they tell you  to do that is to hire a local guide,Yes,Yes,,,,
171199:29,well i think the court systems could stand [SOME] improvement.,No,Yes,,,,
46328:7,"and [SOME] of those people, they don't deserve  to be let  loose.",Yes,Yes,,,,
56053:54,"and i thought i had seen, when we were traveling around the state , [SOME] similar signs  up that  indicated that certain sections were being policed and cleaned up",Yes,Yes,,,,
68757:42,"i, i have, i have [SOME] friends who  do expert wis-, witness testimony",No,Yes,,,,
169818:78,"i mean a lot of, a lot of people as kids or, you know, young people get into [SOME] things that they get out of  later on",No,Yes,,,,
80629:13,at least maybe [SOME] of these mountain bikes you could,Yes,Yes,,,,
30391:38,"we have, you know, used [SOME] of it for [SOME] personal things.",Yes; No,Yes; Yes,,,,
133358:40,"but i do think that we have  to cut out [SOME] of this folderol stuff and go back in the first five, six grades and just keep  going over and over and over until most of those that  are capable can at least learn  to read and write",Yes,Yes,,,,
176346:16,"he crashed and killed [SOME] people because he was, uh, smoking [SOME] marijuana",Yes; No,Yes; Yes,,,,
67949:38,"well the puppy jumped in the, into [SOME] of the pools but not into the,",Yes,Yes,,,,
74341:4,"some ways it's rather frightening,",Yes,Yes,,,,
24055:33,"depending upon the field, i know there are [SOME] fields which a person should go to the school, that school, all four years ,",No,Yes,,,,
100784:45,"and, uh, i had opportunities in high school, to work in [SOME] programs, um",Yes,Yes,,,,
140921:16,and i'll take [SOME] time and do that with her.,No,No?,,,,
36612:7,"and [SOME] of them aren't,",Yes,Yes,,,,
106691:93,"well, um, so to speak, i had  to paint this, uh, the inside of this warehouse thing that you keep some, um, farm equipment in",Yes,Yes,,,,
3297:34:00,"that's, that's what [SOME] people call like  really heavy metal.",Yes,Yes,,,,
76211:56,"and, so, well, i thought, gee, i've been wanting  to, do [SOME] brick, uh, walkways for a time.",No,Yes,,,,
40951:7,and [SOME] of those other places i wouldn't have.,Yes,Yes,,,,
123714:38,"we're supposed  to have a chance to get [SOME] rain the next couple of days here, uh, which  will be, you know, a little bit more typical, uh, autumn weather.",No,Yes,,,,
120517:9,or do [SOME] of them play the same song.,Yes,Yes,,,,
8687:12:00,so she brings [SOME] money in.,No,Yes,,,,
149148:54,"you know, when you write a test  you have  to look at [SOME] data from it and see how the different questions are performing  and find out which ones  are discriminating well and which ones  aren't find out how reliable the test is ,",Yes,Yes,,,,
72554:39,"i wish i had in, in [SOME] senses",Yes,Yes,,,,
56203:18,"or you can just get some, you know, regular red peppers.",No,Yes,,,,
171344:39,"but i found that, uh, it was made  of [SOME] material which  actually ended up  rusting uh, after,",Yes,Yes,,,,
42149:6,"some of these plea bargains and all this kind of stuff that they do , it's just, it just gets out of hand,",Yes,Yes,,,,
149427:7,and [SOME] of the weirdest animals you ever want  to see  in there.,Yes,Yes,,,,
76809:59,"it 's amazing how the, you know, people you talk to  have [SOME] interesting conversations",No,Yes,,,,
130776:48,"and, uh, so, you know, if there are [SOME] energy savings or if there is [SOME] significant savings, anything that they can pass  on to the consumer, you know,",No; No,Yes; Yes,,,,
28335:95,"some of the, [SOME] of the women's roles, i think , are almost for the worse, because we're losing out on [SOME] things,  going back to work,",Yes; Yes,Yes; Yes,,,,
119144:63,"and uh,, you know, of course i, i'm sure we have [SOME] enemies down there who  wouldn't care what  happened to us,",No,Yes,,,,
145454:30,"i mean, there are sort [SOME] inherent limits there,",No,Yes,,,,
120178:18,"um uh, well, [SOME] of both.",Yes,Yes,,,,
161045:13,"well, because [SOME] people, uh, want  to train them as,",,,,,,
176324:16,"and i've got [SOME] very definite, uh, opinions about it . uh, you know, which  haven't changed all that much from my first reactions from, from when they, when they announced it . but, uh, developed a little more, i guess, but haven't changed that much.",,,,,,
132933:57,some of the cars that i got  were like the toyota camry and the nissan maxima and [SOME] of the competitors,,,,,,
32071:143,"and, uh, so, and, uh, so as far as, you know, planting outdoor stuff, matter of fact, tonight i just got through, i was planting some, [SOME] trees out back tonight,",,,,,,
117836:27,"or uh, you know, you got [SOME] cartoons",,,,,,
45071:17,and this candidate tells you [SOME] things.,,,,,,
144511:39,"but, uh, uh, i know that, uh, in [SOME] of these larger cities they're passing out free syringes and all of that sort of thing to prevent, you know, so that, uh, the drug addicts won't be getting dirty needles and everything.",,,,,,
155201:43,we're trying  to think of how to put away [SOME] savings and stuff like that,,,,,,
164110:55,"i think that we're going  to be, uh, owning a mini van for [SOME] years  to come.",,,,,,
36600:32,"and we were hoping, uh,  to do [SOME] camping in the van, um,",,,,,,
158261:43,"she, she had [SOME] kind of a dispute over [SOME] orange juice with the, with the owner of the store.",,,,,,
19223:138,"and, you know, i even had a thought  once that the whole iraqi thing might have been just a, a deal  to go ahead and let us, uh, you know, expend some, [SOME] military hardware.",,,,,,
16220:4,"some people like swiss, um,",,,,,,
53626:13,we're getting [SOME] flooding.,,,,,,
106658:65,"i had  to drive to the store with paper towels all over my hands to go  buy [SOME] paint thinner, and mumblex and everything like that,",,,,,,
142965:19,"actually now you can get [SOME] really good deals  flying over,",,,,,,
70200:18,"well, we could use [SOME] rain up here.",,,,,,
145917:27,"because i looked into  picking up some, uh, medical insurance for my, just for my family, you know, just,",,,,,,
24771:51,"well, that's really too bad because it, it's giving [SOME] people unfair advantage.",,,,,,
158370:21,"this child was crying and needed [SOME] comfort, you know,",,,,,,
139739:24,you sound like you've got [SOME] small ones in the background.,,,,,,
11328:16,"but i would buy [SOME] cheap wallpaper from somewhere and cover those nice boxes with the lids,",,,,,,
39986:52,"they didn't have, they didn't have  to go through [SOME] tough games during the year",,,,,,
72763:7,"and [SOME] of the people, uh,",,,,,,
120873:46,"and of course we were close enough that we could go back and get [SOME] more blankets and things in the morning,",,,,,,
101464:11,"so, in [SOME] ways i think  the, the day schools do serve those purposes.",,,,,,
50370:29,"i, i think [SOME] of these people that they claim  as middle eastern experts don't, don't have a clue sometimes.",,,,,,
77461:30,"what's, what are [SOME] other questions they have  ,",,,,,,
65454:12,"does he get [SOME] royalties from that, hopefully.",,,,,,
1638:23:00,"i think there is still [SOME] discrimination there where as, you know, men and women work in the same job ,",,,,,,
13469:7,"but [SOME] of them are sold ,",,,,,,
159263:34,"and if, if they know [SOME] practice is wrong, you know,",,,,,,
37224:9,but in [SOME] ways i think we are expected  to do it all.,,,,,,
160595:7,"and [SOME] of it, i mean, is,",,,,,,
152067:55,"unless you, unless you have [SOME] vacation time or some, [SOME] sick leave or whatever, um, you kind of have  to finagle your way around  to get that time.",,,,,,
14724:29,"and he said, sign up and get [SOME] money and just talk for five minutes.",,,,,,
81802:32,"and it's a brick house, with, uh, [SOME] wood.",,,,,,
42132:18,"the same thing goes with [SOME] of these insanity pleas, you know.",,,,,,
32704:46,"when we had our pool done   i had them to leave [SOME] extra loam, you know, for my garden",,,,,,
55947:53,"you take pride in that, and, and get some, [SOME] positive feedback from those  who  benefit, besides yourself.",,,,,,
103477:18,"but i know in [SOME] areas, it's really, it, it really is bad.",,,,,,
74537:12,so i have [SOME] rather strong opinions.,,,,,,
130755:109,"what, what  really works, uh, at least down here is, if there is, if there is some, e-, even [SOME] money basically to take care of the gas to recycle it  , you know what i mean , then people tend  to do it.",,,,,,
147237:51,"but i think, uh, we're going  to have  to make [SOME] fundamental changes",,,,,,
63913:49,"and i think they're trying  to, to make [SOME] changes.",,,,,,
83449:21,"uh, i know in [SOME] cases now in [SOME] states, depending on the criminal code, uh, a unanimous verdict is not required .",,,,,,
113277:12,"and we had [SOME] wonderful, wonderful years there under roger staubach.",,,,,,
55284:85,"there's probably five or six, which  would be an equivalent of our joint chiefs of staffs, that  are in positions over [SOME] of these soviet states.",,,,,,
169890:62,"we used  to go once a month, once every two months  to visit [SOME] of the patients there.",,,,,,
146950:24,"so  to be taller than [SOME] of the boys in the bigger grades, uh, older grades, i had  to wear heels.",,,,,,
6720:24:00,"really there could be, um, [SOME] scandals involved, if, you know, it wasn't people that  were really fair and le-, you know, in a legal way or something,",,,,,,
134199:41,"i think it's mostly vehicles although it does come from [SOME] of the industry of, of the gary area",,,,,,
71923:14,because i work [SOME] weird hours and do [SOME] traveling.,,,,,,
103788:26,but you know i guess to [SOME] people it 'd almost be better  to die to them than to spend life in prison or whatever,,,,,,
138873:64,"seems to me i remember that, uh, i was hired , came in and went through [SOME] orientation",,,,,,
46965:16,"but supposedly they have [SOME] real wood built in to like the clutch and all this and the steering wheel,",,,,,,
121757:84,"if i was having a dinner party i would probably, um, have some, um, some, uh, um, [SOME] fruit to start with  with [SOME] apples sliced up and maybe [SOME] cheddar cheese and crackers and grapes and, um, probably serve maybe [SOME] wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts.",,,,,,
141886:24,"you know, i mean, [SOME] topics,",,,,,,
126632:62,"sometimes i wish we'd help them out instead of  going all across the world, and helping [SOME] countries i never even heard of .",,,,,,
164368:12,"well, for [SOME] things.",,,,,,
146901:15,"because i had [SOME] appointments at the office  today, [SOME] interviews",,,,,,
153747:33,"i guess, i guess [SOME] forms of guns should probably be controlled",,,,,,
59652:37,and if he had an automatic weapon could he really be raising [SOME] problems.,,,,,,
92531:11,"there were [SOME] people at the next table who  spoke english,",,,,,,
99256:22,"and you can see in [SOME] of the departments in [SOME] of the schools, like history at clark, they're all pretty fancy.",,,,,,
99637:89,"and i'm, you know, showing them if you're strong in math and science, kiddos, this is one area where women can make [SOME] decent money . you know.",,,,,,
71222:34,"to g-, to give you [SOME] perspective, this, this town that i had lived in  for sometime in nineteen eighty-three was funded  sixty-five per cent by state funds.",,,,,,
44033:5,"some of the home builders are,",,,,,,
89480:63,"they say if you really want  to be, uh, you really want [SOME] suspense, that's the one to see .",,,,,,
72128:34,"the, uh, the, [SOME] of the nautilus equipment that i started  seeing  at the one that we used  to go to  was really interesting,",,,,,,
99356:32,"and, and it's not at [SOME] of the private schools,",,,,,,
134420:23,we put up [SOME] hummingbird feeders and [SOME] bird feeders.,,,,,,
131277:37,"so, uh, it  would be kind of exciting in [SOME] ways to, to see a little bit more of that",,,,,,
55219:110,"and my reasons are based  upon not only from what i read  in the newspapers, what i see  on the newspapers, but up against [SOME] of the, fun and exciting things i ran into  during my six years as a soldier in the fifth special forces group.",,,,,,
174196:39,"when i was, a couple of years ago, involved in [SOME] pretrial stuff  and",,,,,,
31080:59,"in [SOME] of those, you know, they, i guess they retitled [SOME] movies that  were going  to be about lebanese and, and, you know, and, and americans",,,,,,
121757:134,"if i was having a dinner party i would probably, um, have some, um, some, uh, um, [SOME] fruit to start with  with [SOME] apples sliced up and maybe [SOME] cheddar cheese and crackers and grapes and, um, probably serve maybe [SOME] wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts.",,,,,,
16054:41,"i mean, and they have, they have [SOME] serious chemicals out there you know,",,,,,,
45036:13,"and you have [SOME] success and want  to go on  learning and continue  learning, uh and not wait until they're in high school",,,,,,
39408:26,"and then i mix up, uh, [SOME] cream cheese and a little bit of amaretta wi-, and [SOME] cool whip,",,,,,,
175669:10,"and for [SOME] of them it was just kind of, i don't know, not so much a holiday,",,,,,,
16349:60,"i think the, uh, actually i think they get, um, [SOME] of them from south america.",,,,,,
32983:19,"mumblex and i've got [SOME] tomatoes still growing, in, in containers,",,,,,,
60699:26,"and, and that has [SOME] opportunities",,,,,,
3798:43:00,"and, uh, there's, uh, there's [SOME] petting, you know, like, uh, uh,",,,,,,
113855:35,"and i don't mind, uh,  paying for [SOME] of these fringe benefits that people are entitled to .",,,,,,
62647:7,in [SOME] ways it has more  to do with the people who  sold it.,,,,,,
29410:26,"and, and they shed [SOME] light on what  was going on for me.",,,,,,
51582:32,"and, um, it had been recommended  by [SOME] friends of ours",,,,,,
80681:23,and i've been  buying [SOME] magazines and stuff and looking at different ways to paint .,,,,,,
29180:50,"then it comes down to what you said  before though about them being [SOME] of the lowest paid public, you know, public service, employees that there are ,",,,,,,
44939:18,and people are finally taking [SOME] action against it.,,,,,,
152280:24,"i mean, you know, [SOME] people had been there a long time.",,,,,,
133228:13,i certainly have [SOME] ideas since i'm studying it now in college.,,,,,,
38919:40,"i've, i've, uh, made [SOME] small things, cross stitch things.",,,,,,
55078:22,in a way aikman has done [SOME] of that.,,,,,,
145692:12,and they took [SOME] rooms down at a holiday inn,,,,,,
91041:57,"but, then again, uh, well, i, you know, i have [SOME] aunts that, uh, i, i, i do .",,,,,,
165687:30,"and i found that while you can find [SOME] cars that  are comfortable to ride in , uh, finding a ca-, car  anymore that 's, that 's fairly easy for me to work on , it's just not very eas-, it's not very,",,,,,,
164091:22,"and it's, uh, got [SOME] nice features in terms of being able  to remove seats and flip them around",,,,,,
146619:59,"and they they just didn't like participate together with the others because they had [SOME] some, uh, i guess, uh, slight mental disabilities and things like that.",,,,,,
76377:93,"if they have problems with, uh, sand bugs of [SOME] kind i think  all they need  to do  is probably  put [SOME] insecticide down in there on a, oh, a fairly regular basis, for a while anyway.",,,,,,
96882:42,"but i just would rather have, uh, a man  doing [SOME] of these jobs than a woman.",,,,,,
177105:58,"uh, uh, they've, uh, looked at, uh, plutonium and uranium and, uh, [SOME] other similar things  to try  to remove those from radio active waste",,,,,,
29208:96,"goodness gracious, if we would, uh, plan our expressways a little better, that ten dollars for the bridges and the roads, we'd cut that in half and get [SOME] teachers",,,,,,
51340:81,"you know, i kind of wish that they had inter league play, like they do in all the other sports so i could see [SOME] of the national league teams here once in a while.",,,,,,
171678:13,they've had [SOME] serious problems in the past couple of years.,,,,,,
62101:38,and just recently i've changed my job to actually do [SOME] of the marketing.,,,,,,
27683:75,"but the, the interesting thing is that paint we wound up  having  to go back and scrape [SOME] of that away",,,,,,
155563:20,"uh, guy, uh, [SOME] of my things, i, i'd like  to have a short work week you know,",,,,,,
166903:55,"matter of fact, i've heard that, i've heard that [SOME] of the information , uh, is prevented  from  reaching the jury, like, uh, mitigating circumstances or, or preceding, uh, criminal record or things of this nature that,",,,,,,
49908:42,and every once in a while gets a chance to talk to [SOME] of the guys,,,,,,
27803:45,"uh, and i think even electric light orchestra had some, [SOME] real, um, influences by classical music",,,,,,
159358:7,and [SOME] of the really nice ones that  really take care of their people are so expensive. because cause they can afford  to hire the people that  are really going to care for the older.,,,,,,
26735:64,"and, and that way,  handling it that way they could probably get [SOME] results out of it.",,,,,,
87257:107,"and they were just really coming down on him because of [SOME] of the things he was, just [SOME] of the things that he believed in , [SOME] of his morals.",,,,,,
71184:87,"so tho-, those are two areas in which t i stands  to, to gain some, [SOME] short term business  to restock that .",,,,,,
38978:27,and i thought i better  do [SOME] simple things and work up to this because it  was just so difficult to get it done .,,,,,,
62192:35,"but i've, i've got [SOME] opinions on it.",,,,,,
155746:10,"i know [SOME] senators,",,,,,,
19045:21,"and i've seen where [SOME] places have taken a plastic  and, uh, they're recycling them into other plastics. and the styrofoam also into insulation and things like that",,,,,,
22657:23,we'll try  to catch [SOME] crab.,,,,,,
117808:33,"and, uh,  seeing as you've got [SOME] older children, i, i'm wondering, how did you handle that , when they were growing up .",,,,,,
46373:50,"sometimes when you lose someone that you really love  , you do [SOME] crazy things",,,,,,
134176:40,"and we'll let them try  to drink out of [SOME] of the lakes and try  to fish in [SOME] of the lakes that  have been suffering from, uh, the, uh, acid rain",,,,,,
62581:54,"well, we bought a computer because my husband needed  to use it to do [SOME] work for a consulting project,",,,,,,
46609:15,"and especially not in [SOME] of these big cities,",,,,,,
159138:19,"and, uh, granted [SOME] people need  to be compensated  if they have really been wronged , you know.",,,,,,
165858:16,"some, [SOME] local communities are very active in that, uh, in that respect",,,,,,
108737:78,"and, uh, a lot of it is, has a lot  to say , or [SOME] of it has a lot  to say ,",,,,,,
141287:39,"there is one cousin out in colorado, uh, uh, [SOME] cousins over in phoenix, uh,",,,,,,
25273:85,"well, um, oh, i guess another thing i've noticed , too, here lately is that even though we've had [SOME] pretty warm days, it's been awfully gray, you know, just,",,,,,,
109067:18,"marinated in olive oil and [SOME] seasoning, um, and cooked with [SOME] olives and some, and [SOME] prunes, uh,",,,,,,
46446:10,"uh, [SOME] of those countries were so safe, it was unreal.",,,,,,
55919:15,"it gave [SOME] folks [SOME] jobs,",,,,,,
120922:61,"but by then, of course, i was able  to catch, uh, catch [SOME] things,",,,,,,
94182:13,must be [SOME] italian spices in there.,,,,,,
65357:5,"some of those books are real tough to get into ,",,,,,,
166453:10,that's [SOME] brutal stuff there.,,,,,,
83497:27,"plus, i guess, there was [SOME] credit for time this guy had already spent in jail waiting for trial .",,,,,,
27330:65,"i remembering  reading a few cases about that when it, when [SOME] people first tried that",,,,,,
124653:71,"it's hurting, you know, it's hurting germany , for example, too, and [SOME] other parts of europe where they, where they have high industry .",,,,,,
79030:34,"they have  to kind of take a stand on [SOME] things, like abortion and things like that,",,,,,,
88662:24,ours really needs  to have [SOME] work done  on it,,,,,,
147291:12,"and they needed [SOME] quality care,",,,,,,
168982:36,"and, you know, for some, for [SOME] young men, that's good.",,,,,,
99158:38,"but, you don't know, uh, i guess at [SOME] of the other schools you go to  unless you've been there.",,,,,,
60662:8,"but [SOME] of the internal news and the news services,",,,,,,
174570:7,in [SOME] ways i don't like it because it's like they're playing god.,,,,,,
12596:58,"i mean, i'd like  to see them resolve something in that situation and get [SOME] stability in the region",,,,,,
19295:81,"well, this would be like if somebody was elected  president of the united states and suddenly took off toward, you know, just [SOME] pretty hard by the socialism,",,,,,,
37349:44,"i, well i see, i think  [SOME] people wanting  to stay home more and take care of the children.",,,,,,
90039:83,"and, uh, they brought in a very elderly man from a nursing home who  had, had, uh, apparently inhaled [SOME] chicken he was eating .",,,,,,
119945:93,"and i think that certainly makes a difference from, back from the time when somebody handcrafted something  and, you know, had [SOME] pride in it .",,,,,,
76200:18,"they, uh, auctioned [SOME] tools and, things like that,",,,,,,
4528:07:00,and [SOME] of them fizzled out,,,,,,
109269:7,"well [SOME] schools may even give you financial aid, where another one won't .",,,,,,
171919:19,"we do [SOME] cooking, [SOME] barbecueing, have a few drinks and then go in and see the game and see the patriots lose and then go home and eat, drink [SOME] more.",,,,,,
106619:25,"and the second one was i bought [SOME] toys at a, um, at a craft fair.",,,,,,
64610:17,"and they've built [SOME] new highways out to that area, and things, lately.",,,,,,
109067:39,"marinated in olive oil and [SOME] seasoning, um, and cooked with [SOME] olives and some, and [SOME] prunes, uh,",,,,,,
168555:17,"like i said, [SOME] years ago, i think i would have said there's no place for capital punishment in the, civilized western country.",,,,,,
151108:23,"it was, yeah, in [SOME] of the critical things, like the off-, special investigations, at one time in one of the cases had videotaped this person,",,,,,,
53602:9,"uh, [SOME] real massive thunderstorms.",,,,,,
146225:40,"so i had, i went and bought just [SOME] cloth glue and glued it all back",,,,,,
148889:35,"got that, uh, uh, [SOME] insight  there,  to, to kind of help me put together the feelings.",,,,,,
15068:10,compared to [SOME] of the other ones.,,,,,,
27799:10,"chicago had [SOME] things,",,,,,,
13424:44,"and in fact, [SOME] of these things i get , [SOME] of these questionnaires,",,,,,,
143722:15,"but i know [SOME] people can get, get, you know, carried  away with them and let them get out of hand.",,,,,,
33859:9,"there [SOME] things i'd like  to try ,",,,,,,
156639:7,"but [SOME] of them have already been in youth centers. and that kind of thing,",,,,,,
91758:36,"and he really, this man really shed [SOME] light on, um, some, aspects of of bach's genius and, and, and, you know, the, and more sociological things, you know, like the, the idea that, um, that music, to be a musician was as much, um, of a family occupation as anything.",,,,,,
82295:13,"they were doing some, uh, ozone testing, and, uh, th-, the e p a",,,,,,
171693:31,"and it recently was sold  to, uh, [SOME] other people",,,,,,
73140:10,"and then [SOME] of them add late fees on it, if they don't get paid",,,,,,
72160:27,"just to do, you know, [SOME] bicep, tricep exercises.",,,,,,
135551:31,"so she couldn't possibly turn them out like [SOME] of these popular writers,",,,,,,
155436:87,"if my parents were  to get ill, i would like  to take care of them at home and if i had the money with [SOME] help.",,,,,,
31180:170,"and, uh, you know, i, i've, in hindsight, seen [SOME] things that i wished that, you know, i had done something about  that  was, you know, within my power or, uh, you know, wish that in [SOME] ways we, as parents, had more control over what 's happening up there, you know, type thing.",,,,,,
90848:29,"and it was not only in mississippi, in [SOME] other places, as well,",,,,,,
22932:13,now there is [SOME] really nice ones.,,,,,,
94526:45,"and we found that if it's in a certain part of texas, [SOME] people come,",,,,,,
127169:7,"and [SOME] of these mini skirts, you know, are worse than shorts ever thought about  being.",,,,,,
48532:18,"once you get into [SOME] of the programs that  are out now, you can do so much  with them, that you don't do  until you really make yourself use them.",,,,,,
